Variable,Kind,Default / Example,What it does,Where it goes,Source
Food,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
FootprintGridX,int,,Grid width (X) for placement occupancy. | Notes: Occupancy is measured in build-grid units.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
FootprintGridY,int,,Grid depth (Y) for placement occupancy.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
FootprintHeightUnits,int,,Vertical occupancy units used for clearance/stack checks. | Notes: Used for ceiling clearance and overhang blocking.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
Formula,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
ForwardDepot,scalar,,ParagraphDef: ['small disposable supply cache near contested resources.'],Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
FS,scalar,,Example: FS = 1 + 0.06*RoleSkill + 0.03*DEX,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
GearMult,scalar,,Fatigue efficiency multiplier.: Gear efficiency multiplier. | Formula: 1 + 0.20*GearQuality | Notes: GQ 0..1 gives 1.0..1.2,Game Tunables / Runtime State,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx"
GridLinkRadiusMeters,scalar,,Auto-link radius for nearby nodes.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
GridMaxLinks,int,,Max concurrent links a node can maintain.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
GroupSizeMinMax,unknown,,"Example: GroupSizeMinMax = [1, 3]",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx"
GuidebookDescription,scalar,,Type: string | Notes: Player-facing guidebook text for the item. Stored in Section 4.7 tables.,Game Tunables / Runtime State,"JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx, JIM_Items_and_Loot_Tables_GDD_Adde… | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx"
HandlingMinutesPerDay,float,,Minutes of positive handling applied per day.,Taming/Training daily tick,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
HarvestToolReq,unknown,,Example: HarvestToolReq = { Cutter },Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
HarvestYieldUnitsPerKill,unknown,,Example: HarvestYieldUnitsPerKill = SpeciesBaseYield * (1 + 0.04*HuntingSkill) * ToolFactor,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
HaulRoute,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
HerdRouteIdPool,unknown,,"Example: HerdRouteIdPool = { RidgeLoop_A, Meltline_B, FenArc_C }",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
HerdSizeMinMax,unknown,,"Example: HerdSizeMinMax = [5, 14]",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
HIDE,enum,,Probability: 1 - Clamp(DEFEND+FLEE) | Notes: Shelter behavior,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_GDD_v0_5_Draft-1.docx, Jovian_Interlope… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
HitChance,unknown,,Example: HitChance = WeaponBase * (1 + 0.06*Dexterity) * (1 + 0.05*HuntingSkill) * StabilityFactor - TargetEvasion,Runtime: Combat Systems / WeaponDefs,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
HPMax,int,,Maximum HP of the placeable.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
Hunt,int,,Role skill level for hunting.,Player/NPC SkillLevel[Hunt] (canonical RoleSkill token),Role_System (Math + High Level) | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
HuntingXPPerResearchSampleDelivered,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
HydrationDrain,scalar,Base 3/hr + WorkMultiplier (1.0–2.0),Base 3/hr + WorkMultiplier (1.0–2.0),Game Tunables / Runtime State,"Jovian_Role_System_GDD_High_Level_v0_1-1.docx, Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
Inputs,string,,Recipe input spec (ItemId:Qty list).,DataTable: Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
IntelFragment,scalar,,"Meaning: Collectible clue item/data that contributes to discovering the main faction capital base. | BaseChance: 0.06 | MinChance: 0.02 | MaxChance: 0.18 | Notes: AvionicsWreck, CommsRelayDebris, terminals; increased by…",Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx"
IntelFragmentCost,int,,How many IntelFragment tokens are consumed to unlock a TechNode.,Game Tunables / Runtime State,JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx
IsInteriorOnly,bool,,Cannot be placed outdoors (weather exposure rule).,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
IsWaterplaceable,bool,,May be placed on water/ice surfaces.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
ItemId,scalar,,Type: string | Notes: Stable identifier.,Game Tunables / Runtime State,"JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx, JIM_Items_and_Loot_Tables_GDD_Adde… | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx"
ItemTier,scalar,,Type: int (0..6) | Notes: T0..T6 tier used by loot + engineering cost mapping.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickH,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickH_eff,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickHMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickHMult_total,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickV,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickV_eff,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickVMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
KickVMult_total,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
LeaderBuff,scalar,,Formula: 1 + 0.02*Leadership + 0.01*RoleSkill | Notes: Clamped 1.0..1.35,Game Tunables / Runtime State,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx"
LeaderCaptureClue,scalar,,BaseChance: 0.04 | MinChance: 0.01 | MaxChance: 0.12 | Notes: Occupied sites; drives faction discovery arcs.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
LeaderFactor,scalar,,Meaning / Where Used: Leader multiplier applied to role throughput; includes leader buffs/auras. | Meaning: Leader-driven multiplier for subordinate throughput.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_F… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx"
LeaderLevel,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
Leadership,,,0–10,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
LeadershipFactor,float,,Leader aura multiplier affecting tame/training efficiency.,Husbandry,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
LeadershipTickHours,scalar,24 (leaders resolve outcomes on a daily cadence).,24 (leaders resolve outcomes on a daily cadence).,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
LightFactor,scalar,0.6–1.2 (night/indoors vs daylight),0.6–1.2 (night/indoors vs daylight),Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
LivestockSanitationFactor,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
LogsPerMinute,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
LogYieldPerMinExpected,unknown,,Example: LogYieldPerMinExpected = 2.2,Data: RoleParams / Runtime: NPC SkillState,JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx
LootSeed,,,"Deterministic RNG seed = hash(WorldSeed, POIId).",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
LootTier,,,Tier roll outcome for the POI (T0..T6).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
LV,scalar,,Example: LV = 0.6*FoodStored + 0.8*LivestockCount + 0.3*CarcassWaste - 0.4*Sanitation   # normalized 0..1,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
Mag,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
MagSizeMult,unknown,,Example: MagSizeMult=1.35; ReloadSMult=1.08,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
MAX_SUCCESS_PROB,scalar,0.97,Notes: Generic upper bound for probabilities to avoid absolute certainty.,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
MaxChance,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MaxSlopeDegrees,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
MaxSlopeDegrees_Build,scalar,,Maximum ground slope allowed for placement.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
Meaning,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Meat,scalar,,Example: Meat = BaseMeat*(0.85+0.03*HuntSkill)*(1-OverkillPenalty),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Mechanic,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Med,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
MedBox,scalar,,BaseSlots: 2 | SlotsMin: 1 | SlotsMax: 4 | BaseEmptySlotChance: 0.08,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Merge,,,If Affinity>0.65 and FS_small<0.6*FS_large: 0.25/day,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
MeteorImpactField,scalar,,ParagraphDef: ['rare alloys + radiation pockets; small but high-value nodes.'],Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MG,stat,,Meaning: Global/base-level morale (0-100). | Leadership (0–10).: Global/base morale (0–100).,Runtime: Character Stats,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx"
mg_toxin_per_serving,unknown,,"Example: mg_toxin_per_serving = BaseDose[ToxinProfileId] * Lerp(0.6, 1.6, TSI)",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
MI,stat,,"Meaning: Individual NPC morale (0-100). | Leadership (0–10).: Individual morale (0–100). | Example: MI = Clamp(MG + 0.4*(MR-MG) + Bias, 0, 100)",Runtime: Character Stats,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interlop… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx"
MicroSpacingMinMeters,scalar,,Meaning: Minimum spacing for Micro POIs inside a debris field cluster (exception rule).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Migration,scalar,,Example: Migration = Yes,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
Military,int,,Role skill level for combat discipline/command.,Player/NPC SkillLevel[Military] (canonical RoleSkill token),Role_System (Math + High Level) | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
MilitarySkill,alias,,Alias for Military (canonical RoleSkill token).,Alias (convert to Military),Variable Alias Map
MilitaryXPPerEscortMinute,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MilitaryXPPerHostileSpottedFirst,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MilitaryXPPerMinuteOnPatrol,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MilitaryXPPerMinuteOnPost,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MilkCalGain,unknown,,Example: MilkCalGain = 220,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MilkPerDay,unknown,,Example: MilkPerDay = 0.9,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MIN_SUCCESS_PROB,scalar,0.03,Notes: Generic lower bound for probabilities to avoid absolute certainty.,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
MinChance,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MinClearanceHeightMeters,scalar,,Required vertical clearance above the footprint.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
MinClearanceMeters,float,,float; overhead + side clearance,DataTable: PlacementConstraints (PlacementConstraintDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX
MinClearanceRadiusMeters,scalar,,"Required radial clearance (doors, vents, swing arcs).",DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
MinDmgMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Mine,int,,Role skill level for mining.,Player/NPC SkillLevel[Mine] (canonical RoleSkill token),Role_System (Math + High Level) | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
MinFactionBaseDistanceMeters,scalar,,Meaning: Capital-to-capital spacing between factions.,Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MinFactionOutpostDistanceMeters,scalar,,Meaning: Outpost-to-outpost spacing between factions.,Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MiningXPPerMinuteActive,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MiningXPPerScrapUnitDeposited,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MiningXPPerStoneUnitDeposited,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MinMajorPOIDistanceMeters,scalar,,Meaning: Spacing when either POI is Major.,Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MinPassageWidthMeters,scalar,,"ParagraphDef: ['Courser 1.2m, Dray 1.8m.']",Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
MinPOIDistanceMeters,scalar,,Meaning: Baseline POI-to-POI spacing for Micro/Minor.,Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MinRemnantSiteDistanceMeters,scalar,,Meaning: Dungeon-to-dungeon spacing (Remnant sites).,Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MinRemnantToFactionBaseMeters,scalar,,Meaning: Prevents capital bases overlapping Remnant dungeons.,Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
MistakeChance,scalar,BaseMistake * (1 - 0.06*RoleSkill) * StressFactor * CrossRolePenalty * Environm…,BaseMistake * (1 - 0.06*RoleSkill) * StressFactor * CrossRolePenalty * EnvironmentFactor,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MistakeChancePerMinute,scalar,,Meaning / Where Used: Continuous mistake probability for role work.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
Mode,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx
Morale,,,"0–100, modifies throughput and mistake rates",Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
MoraleEff,scalar,,Formula: Eff_M = 0.70 + 0.003*Morale | Notes: 0.70..1.00,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Mount,scalar,,Example: Mount = Yes,Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MountCarryCapacityKg,float,,Max carry capacity before encumbrance penalties apply.,Mount archetype stats,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
MountCC,unknown,,Example: MountCC = BaseMountCC   # kg,Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MountDrain,unknown,,Example: MountDrain = BaseMountDrain * (0.7 + 0.6*E_mount),Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MountMS,unknown,,"Example: MountMS = BaseMoveSpeed * Clamp(1 - E_mount/1.3, 0.35, 1.0)",Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
MountPanicBase,float,,Base panic tendency for species (higher = panics easier).,Mount temperament,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
MountPanicBaseEffective,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
MountPanicRecoveryPerSecond,float,,Panic recovery per second when calm/secure.,Mount temperament,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
MountStaminaDrainHaul,float,,Additional stamina drain per second while hauling/overloaded.,Mount hauling,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
MountStaminaDrainSprint,float,,Stamina drain per second while sprinting.,Mount movement,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
MountStaminaDrainWalk,float,,Stamina drain per second while walking.,Mount movement,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
MountStaminaMax,float,,Maximum mount stamina.,Mount archetype stats,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
MountStaminaRegenPerSecond,float,,Stamina regeneration rate per second.,Mount archetype stats,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
MountTrainingLevel,int,,Training level affecting command reliability and panic threshold.,Mount progression,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
